Time,OrderType,Price,Volume
2,8,585.0011904856867,6.0
7,2,584.7926570345646,1.0
10,2,584.4946264986694,1.0
11,2,584.3377074866034,1.0
14,7,584.4159059013763,104.0
16,1,584.3683762227778,46.0
17,1,584.7693090345298,34.0
20,7,584.7391405506829,3.0
22,1,585.1224207598256,8.0
23,1,585.1575316506754,84.0
33,1,585.4315166134222,5.0
35,7,585.3097357182917,6.0
38,1,585.4882290339033,4.0
42,1,585.5305767583328,75.0
43,8,585.9574274142484,24.0
45,2,586.0967551373327,1.0
46,7,585.8795362403698,76.0
50,1,586.2672905549924,64.0
51,1,585.9429356488909,67.0
54,7,585.8135379183642,89.0
58,1,585.9632584578216,82.0
59,8,585.667130729248,170.0
66,1,585.2183093515757,28.0
67,1,585.5932705517928,7.0
69,1,585.5619860878033,204.0
77,1,585.5960018830723,123.0
78,1,585.7456668252952,83.0
84,1,586.0244000253991,74.0
85,7,585.7371715382001,1.0
90,7,585.7120814404743,33.0
92,2,586.0026250969056,1.0
96,1,586.0571644231044,8.0
97,1,586.2358856710731,3.0
98,1,586.4146614210365,34.0
99,1,586.4745288558832,17.0
101,7,586.5039895235809,84.0
104,1,586.2932918440013,162.0
105,1,585.7942219905492,13.0
108,1,585.9064691560054,65.0
109,7,585.6944153517763,4.0
114,8,585.7410463332103,24.0
115,1,585.7955613142459,135.0
118,7,585.8553655447804,3.0
119,8,586.1105048009352,75.0
121,1,585.5590559198854,56.0
124,8,585.6175691122302,165.0
131,1,585.2818774932499,27.0
132,1,585.0798840977395,75.0
133,1,585.046045613067,48.0
134,7,584.8503374955898,279.0
135,7,585.2968794212235,383.0
137,1,584.7965293894607,43.0
138,1,584.6474274562893,22.0
139,1,584.3534531862867,54.0
141,8,583.9374374447565,36.0
143,7,583.9276614503926,71.0
145,2,583.6963928946471,1.0
148,8,583.0741803085486,63.0
149,1,582.7747127674531,15.0
151,1,582.2765188486131,13.0
153,8,582.2337651005798,5.0
158,1,581.8641740001992,16.0
166,8,581.4831061532129,38.0
174,1,581.2706450624092,160.0
179,1,581.3640939903702,148.0
181,1,581.7365857168975,101.0
182,7,581.5797420808843,9.0
185,1,581.6003167958246,160.0
186,7,581.7872319166296,48.0
188,1,581.6388972453144,150.0
190,1,581.6705990714855,8.0
191,7,581.7562886383996,19.0
192,1,581.5843826049121,56.0
196,1,581.2778280703966,31.0
197,1,581.5586991243297,213.0
199,1,581.4381906077683,64.0
202,8,581.4844827231797,30.0
204,7,581.6522796050652,61.0
205,1,581.7777425225318,62.0
206,1,582.475166747262,52.0
208,1,582.3284936033776,131.0
216,1,581.9327840969038,128.0
217,1,581.8916722938769,56.0
223,1,582.142647464773,85.0
224,7,581.9759034344357,6.0
229,7,581.7849334618224,186.0
231,2,582.2735674670066,1.0
235,1,581.9681243123141,13.0
236,1,581.5629308882543,144.0
237,1,581.5978281881428,43.0
238,1,582.29503673495,110.0
240,7,582.3946149255991,142.0
243,1,582.0641622054573,39.0
244,1,581.7714868610647,17.0
247,1,581.6268886124352,37.0
248,7,581.9630486612944,144.0
253,8,581.7885013881646,166.0
254,1,581.7404984666061,200.0
257,7,582.1933069391634,10.0
258,8,582.3800150877184,13.0
260,1,582.533269613951,43.0
